,layer,pos,prob
0,0,0,0.10378162562847137
1,0,1,0.10378162562847137
2,0,2,0.10378162562847137
3,0,3,0.33717969059944153
4,0,4,0.2757203280925751
5,0,5,0.05843787640333176
6,0,6,0.10242290794849396
7,0,7,0.10370633006095886
8,0,8,0.10032092034816742
9,0,9,0.1072419211268425
10,0,10,0.1047663539648056
11,0,11,0.10442977398633957
12,0,12,0.10578998923301697
13,0,13,0.10046889632940292
14,0,14,0.08673104643821716
15,0,15,0.11141961067914963
16,1,0,0.10378162562847137
17,1,1,0.10378162562847137
18,1,2,0.10378162562847137
19,1,3,0.3390125036239624
20,1,4,0.27672699093818665
21,1,5,0.05380032956600189
22,1,6,0.10811646282672882
23,1,7,0.09540340304374695
24,1,8,0.10067637264728546
25,1,9,0.10814697295427322
26,1,10,0.10312680900096893
27,1,11,0.10545580834150314
28,1,12,0.10686758905649185
29,1,13,0.10038895159959793
30,1,14,0.0676160454750061
31,1,15,0.09870928525924683
32,2,0,0.10378162562847137
33,2,1,0.10378162562847137
34,2,2,0.10378162562847137
35,2,3,0.3386659622192383
36,2,4,0.2766798138618469
37,2,5,0.046411752700805664
38,2,6,0.10782638192176819
39,2,7,0.09035767614841461
40,2,8,0.10055353492498398
41,2,9,0.10835983604192734
42,2,10,0.10318215191364288
43,2,11,0.11517245322465897
44,2,12,0.10737679898738861
45,2,13,0.09665979444980621
46,2,14,0.05575847625732422
47,2,15,0.1229485273361206
48,3,0,0.10378162562847137
49,3,1,0.10378162562847137
50,3,2,0.10378162562847137
51,3,3,0.33881670236587524
52,3,4,0.2785419821739197
53,3,5,0.059585850685834885
54,3,6,0.10078534483909607
55,3,7,0.07997405529022217
56,3,8,0.09718305617570877
57,3,9,0.1087331771850586
58,3,10,0.1024295911192894
59,3,11,0.10870292782783508
60,3,12,0.10425563901662827
61,3,13,0.0678277313709259
62,3,14,0.06491842865943909
63,3,15,0.12922637164592743
64,4,0,0.10378162562847137
65,4,1,0.10378162562847137
66,4,2,0.10378162562847137
67,4,3,0.3394411504268646
68,4,4,0.2787700891494751
69,4,5,0.05937658250331879
70,4,6,0.1050063744187355
71,4,7,0.08129975199699402
72,4,8,0.09682483226060867
73,4,9,0.10792279988527298
74,4,10,0.10260306298732758
75,4,11,0.10559459030628204
76,4,12,0.10467105358839035
77,4,13,0.06944689154624939
78,4,14,0.05326491966843605
79,4,15,0.11578984558582306
80,5,0,0.10378162562847137
81,5,1,0.10378162562847137
82,5,2,0.10378162562847137
83,5,3,0.3399718105792999
84,5,4,0.27674517035484314
85,5,5,0.0583723746240139
86,5,6,0.0996318832039833
87,5,7,0.06484559923410416
88,5,8,0.09645980596542358
89,5,9,0.10907719284296036
90,5,10,0.10607680678367615
91,5,11,0.10555746406316757
92,5,12,0.1076049730181694
93,5,13,0.07280789315700531
94,5,14,0.06698895990848541
95,5,15,0.11131118983030319
96,6,0,0.10378162562847137
97,6,1,0.10378162562847137
98,6,2,0.10378162562847137
99,6,3,0.10791633278131485
100,6,4,0.25242137908935547
101,6,5,0.07855907082557678
102,6,6,0.0899321436882019
103,6,7,0.06773698329925537
104,6,8,0.09865052998065948
105,6,9,0.11135425418615341
106,6,10,0.10541839897632599
107,6,11,0.10200461000204086
108,6,12,0.1045101061463356
109,6,13,0.08189180493354797
110,6,14,0.09274105727672577
111,6,15,0.09294059872627258
112,7,0,0.10378162562847137
113,7,1,0.10378162562847137
114,7,2,0.10378162562847137
115,7,3,0.11654449254274368
116,7,4,0.24352476000785828
117,7,5,0.04196495935320854
118,7,6,0.09495006501674652
119,7,7,0.05605214461684227
120,7,8,0.09423860162496567
121,7,9,0.11172563582658768
122,7,10,0.10523989051580429
123,7,11,0.10427209734916687
124,7,12,0.1030796617269516
125,7,13,0.08529548346996307
126,7,14,0.09532083570957184
127,7,15,0.08597184717655182
128,8,0,0.10378162562847137
129,8,1,0.10378162562847137
130,8,2,0.10378162562847137
131,8,3,0.10770224779844284
132,8,4,0.24313576519489288
133,8,5,0.03242897614836693
134,8,6,0.09682314097881317
135,8,7,0.05992181599140167
136,8,8,0.09010839462280273
137,8,9,0.10653857886791229
138,8,10,0.10571441799402237
139,8,11,0.10989784449338913
140,8,12,0.10182317346334457
141,8,13,0.07397676259279251
142,8,14,0.0986468568444252
143,8,15,0.08182451874017715
144,9,0,0.10378162562847137
145,9,1,0.10378162562847137
146,9,2,0.10378162562847137
147,9,3,0.10195650905370712
148,9,4,0.23358605802059174
149,9,5,0.09522257000207901
150,9,6,0.10883305966854095
151,9,7,0.06948620826005936
152,9,8,0.09105250984430313
153,9,9,0.10422106832265854
154,9,10,0.10807152092456818
155,9,11,0.10850615054368973
156,9,12,0.10026086121797562
157,9,13,0.0759911984205246
158,9,14,0.09911041706800461
159,9,15,0.08233360946178436
160,10,0,0.10378162562847137
