,layer,pos,prob
0,0,0,0.37768998742103577
1,0,1,0.33004888892173767
2,0,2,0.13986468315124512
3,0,3,0.13823352754116058
4,0,4,0.12263332307338715
5,1,0,0.37788936495780945
6,1,1,0.3208219110965729
7,1,2,0.1385813057422638
8,1,3,0.13373644649982452
9,1,4,0.12112512439489365
10,2,0,0.37833502888679504
11,2,1,0.3534358739852905
12,2,2,0.1367103010416031
13,2,3,0.13226738572120667
14,2,4,0.12544138729572296
15,3,0,0.3788670599460602
16,3,1,0.37338030338287354
17,3,2,0.13370445370674133
18,3,3,0.12892349064350128
19,3,4,0.12565511465072632
20,4,0,0.3791031539440155
21,4,1,0.37134918570518494
22,4,2,0.13407021760940552
23,4,3,0.12297206372022629
24,4,4,0.12642449140548706
25,5,0,0.3793136775493622
26,5,1,0.3440990149974823
27,5,2,0.1353691965341568
28,5,3,0.12765584886074066
29,5,4,0.14195038378238678
30,6,0,0.2468990534543991
31,6,1,0.27618104219436646
32,6,2,0.14083720743656158
33,6,3,0.1273380070924759
34,6,4,0.15044276416301727
35,7,0,0.13181258738040924
36,7,1,0.30097225308418274
37,7,2,0.13824203610420227
38,7,3,0.1303200125694275
39,7,4,0.13792192935943604
40,8,0,0.1306001842021942
41,8,1,0.32006099820137024
42,8,2,0.14092597365379333
43,8,3,0.13897308707237244
44,8,4,0.1278911530971527
45,9,0,0.13703183829784393
46,9,1,0.30845892429351807
47,9,2,0.13899828493595123
48,9,3,0.14090785384178162
49,9,4,0.13901877403259277
50,10,0,0.1372096985578537
51,10,1,0.2656586170196533
52,10,2,0.14075739681720734
53,10,3,0.16172942519187927
54,10,4,0.173750638961792
55,11,0,0.13749587535858154
56,11,1,0.25802677869796753
57,11,2,0.13859452307224274
58,11,3,0.16121050715446472
59,11,4,0.22276590764522552
60,12,0,0.13778714835643768
61,12,1,0.2401082068681717
62,12,2,0.14220544695854187
63,12,3,0.16594280302524567
64,12,4,0.21889391541481018
65,13,0,0.1379237174987793
66,13,1,0.2471356987953186
67,13,2,0.1408219039440155
68,13,3,0.16654306650161743
69,13,4,0.27790701389312744
70,14,0,0.13809917867183685
71,14,1,0.22982995212078094
72,14,2,0.1425940990447998
73,14,3,0.16790838539600372
74,14,4,0.3377183675765991
75,15,0,0.13812462985515594
76,15,1,0.16749396920204163
77,15,2,0.1408730447292328
78,15,3,0.16107070446014404
79,15,4,0.3703900873661041
80,16,0,0.1381555199623108
81,16,1,0.13925538957118988
82,16,2,0.13973355293273926
83,16,3,0.15422891080379486
84,16,4,0.40482425689697266
85,17,0,0.13812726736068726
86,17,1,0.12430121749639511
87,17,2,0.13955625891685486
88,17,3,0.14856524765491486
89,17,4,0.39068496227264404
90,18,0,0.13813140988349915
91,18,1,0.14028814435005188
92,18,2,0.1386212408542633
93,18,3,0.14767202734947205
94,18,4,0.3141566216945648
95,19,0,0.13815772533416748
96,19,1,0.13739001750946045
97,19,2,0.14021192491054535
98,19,3,0.1427859514951706
99,19,4,0.1994015872478485
100,20,0,0.13823287189006805
101,20,1,0.14105194807052612
102,20,2,0.13880667090415955
103,20,3,0.14000312983989716
104,20,4,0.19304761290550232
105,21,0,0.13827486336231232
106,21,1,0.1400431990623474
107,21,2,0.1381046175956726
108,21,3,0.13856644928455353
109,21,4,0.14279252290725708
110,22,0,0.13830983638763428
111,22,1,0.14121292531490326
112,22,2,0.1378498673439026
113,22,3,0.13967613875865936
114,22,4,0.12952068448066711
115,23,0,0.13834652304649353
116,23,1,0.13891087472438812
117,23,2,0.1381336748600006
118,23,3,0.13902446627616882
119,23,4,0.11571144312620163
